field	value
captured_utc	2026-09-26T16:48:19Z
evidence_repo_source_sha	bb292585f1aee80c378377fdc4fd4a678df963e8
runtime_baseline_type	RECONSTRUCTED_OFFLINE_CONTROL_PLANE
prior_runtime_data_continuity	NOT_ESTABLISHED
old_runtime_security_result_inheritance	NO
api_container	onyx-api_server-1
api_container_id	2e95843fef2937a6cfd921b56e062f2cfcc1d0adc4c9c988bf5ee562a47654ba
api_image_ref	onyxdotapp/onyx-backend:latest
api_image_id	sha256:fa570e141e39af5e1e48767fe14cbe227abe9a5ec0e3d08b9580c8bf60b35543
api_image_revision_label	01f746bc7d922ff53ffebbab1e68011a69bda4ae
api_internal_health	PASS
api_docker_health	healthy
database_schema_revision	ad99acb9be41 (head)
network_scope	INTERNAL_ONLY
api_started_with_default_outbound_network	NO
external_network_negative_check	PASS
internal_service_dns	PASS
file_store_backend	postgres
model_server_mode	DISABLED_FOR_CONTROL_PLANE_BASELINE
tokenizer_mode	SYNTHETIC_LOCAL_CACHE
synthetic_tokenizer_model_id	nomic-ai/nomic-embed-text-v1
synthetic_tokenizer_sha256	71cf13dba789b318df96ff942be54eb6e7536d3ce68e67e304073fa975b1e5a2
hf_hub_offline	YES
model_dependent_security_validation_complete	NO
s3_minio_security_validation_complete	NO
runtime_code_commit_correspondence	NOT_ESTABLISHED
application_image_pull	NO
automatic_onyx_upgrade	NO
