dataset,epsilon,scale,sample,true_count,noise,noisy_count
D,0.5,2,1,3,2.30717,5.30717
D,0.5,2,2,3,0.6098,3.6098
D,0.5,2,3,3,3.47798,6.47798
D,0.5,2,4,3,-0.259068,2.74093
D,0.5,2,5,3,2.0836,5.0836
D,0.5,2,6,3,4.1523,7.1523
D,0.5,2,7,3,0.58688,3.58688
D,0.5,2,8,3,-0.431799,2.5682
D,0.5,2,9,3,4.83963,7.83963
D,0.5,2,10,3,-0.652063,2.34794
D,0.5,2,11,3,-1.04805,1.95195
D,0.5,2,12,3,-10.678,-7.67795
D,0.5,2,13,3,-1.12972,1.87028
D,0.5,2,14,3,-3.05686,-0.0568592
D,0.5,2,15,3,1.76103,4.76103
D,0.5,2,16,3,-0.842406,2.15759
D,0.5,2,17,3,3.26844,6.26844
D,0.5,2,18,3,1.8499,4.8499
D,0.5,2,19,3,5.83771,8.83771
D,0.5,2,20,3,-3.4137,-0.413701
D,0.5,2,21,3,0.0555869,3.05559
D,0.5,2,22,3,0.467655,3.46766
D,0.5,2,23,3,4.25401,7.25401
D,0.5,2,24,3,-1.72233,1.27767
D,0.5,2,25,3,0.251337,3.25134
D,0.5,2,26,3,0.680977,3.68098
D,0.5,2,27,3,-1.81048,1.18952
D,0.5,2,28,3,0.100266,3.10027
D,0.5,2,29,3,1.2446,4.2446
D,0.5,2,30,3,-1.21715,1.78285
D,0.5,2,31,3,4.58978,7.58978
D,0.5,2,32,3,0.319837,3.31984
D,0.5,2,33,3,3.2894,6.2894
D,0.5,2,34,3,2.5713,5.5713
D,0.5,2,35,3,-7.27704,-4.27704
D,0.5,2,36,3,1.21068,4.21068
D,0.5,2,37,3,1.82319,4.82319
D,0.5,2,38,3,0.658667,3.65867
D,0.5,2,39,3,-2.69471,0.305285
D,0.5,2,40,3,1.42335,4.42335
D,0.5,2,41,3,-12.0817,-9.08165
D,0.5,2,42,3,-0.320201,2.6798
D,0.5,2,43,3,1.44301,4.44301
D,0.5,2,44,3,-1.12137,1.87863
D,0.5,2,45,3,0.14285,3.14285
D,0.5,2,46,3,0.209412,3.20941
D,0.5,2,47,3,0.515148,3.51515
D,0.5,2,48,3,-0.269739,2.73026
D,0.5,2,49,3,-0.705197,2.2948
D,0.5,2,50,3,0.380095,3.3801
D_neighbor,0.5,2,1,4,0.113704,4.1137
D_neighbor,0.5,2,2,4,2.62067,6.62067
D_neighbor,0.5,2,3,4,-1.92686,2.07314
D_neighbor,0.5,2,4,4,-0.132125,3.86788
D_neighbor,0.5,2,5,4,-3.75542,0.244579
D_neighbor,0.5,2,6,4,1.38499,5.38499
D_neighbor,0.5,2,7,4,-2.98642,1.01358
D_neighbor,0.5,2,8,4,-1.169,2.831
D_neighbor,0.5,2,9,4,-1.20087,2.79913
D_neighbor,0.5,2,10,4,2.32912,6.32912
D_neighbor,0.5,2,11,4,0.214084,4.21408
D_neighbor,0.5,2,12,4,-1.60682,2.39318
D_neighbor,0.5,2,13,4,-0.358907,3.64109
D_neighbor,0.5,2,14,4,-0.192049,3.80795
D_neighbor,0.5,2,15,4,-3.52834,0.471663
D_neighbor,0.5,2,16,4,-0.296958,3.70304
D_neighbor,0.5,2,17,4,-2.02918,1.97082
D_neighbor,0.5,2,18,4,2.93455,6.93455
D_neighbor,0.5,2,19,4,-3.89521,0.10479
D_neighbor,0.5,2,20,4,-0.948093,3.05191
D_neighbor,0.5,2,21,4,0.653195,4.6532
D_neighbor,0.5,2,22,4,-3.86211,0.137885
D_neighbor,0.5,2,23,4,1.28695,5.28695
D_neighbor,0.5,2,24,4,-0.464858,3.53514
D_neighbor,0.5,2,25,4,-0.668671,3.33133
D_neighbor,0.5,2,26,4,-1.21956,2.78044
D_neighbor,0.5,2,27,4,4.45156,8.45156
D_neighbor,0.5,2,28,4,5.72552,9.72552
D_neighbor,0.5,2,29,4,1.08017,5.08017
D_neighbor,0.5,2,30,4,-1.0388,2.9612
D_neighbor,0.5,2,31,4,0.246527,4.24653
D_neighbor,0.5,2,32,4,-1.49915,2.50085
D_neighbor,0.5,2,33,4,-2.24696,1.75304
D_neighbor,0.5,2,34,4,1.37652,5.37652
D_neighbor,0.5,2,35,4,1.05066,5.05066
D_neighbor,0.5,2,36,4,-1.47593,2.52407
D_neighbor,0.5,2,37,4,-0.00555551,3.99444
D_neighbor,0.5,2,38,4,2.00636,6.00636
D_neighbor,0.5,2,39,4,0.0722323,4.07223
D_neighbor,0.5,2,40,4,1.57843,5.57843
