risk_id	risk	status	owner	deadline	next_gate	phase25_disposition
R24-001	Cross-tenant runtime isolation not executed	OPEN	PROJECT_OWNER	2026-10-31	SECOND_TENANT_RUNTIME_GATE	CARRIED_FORWARD_UNCHANGED
R24-002	RAG authorization and revocation runtime not executed	OPEN	PROJECT_OWNER	2026-10-31	CONTROLLED_RAG_RUNTIME_GATE	CARRIED_FORWARD_UNCHANGED
R24-003	Retrieval poisoning runtime not executed	OPEN	PROJECT_OWNER	2026-10-31	CONTROLLED_RAG_POISONING_GATE	CARRIED_FORWARD_UNCHANGED
R24-004	Prompt-injection runtime not executed	OPEN	PROJECT_OWNER	2026-10-31	CONTROLLED_MODEL_RUNTIME_GATE	CARRIED_FORWARD_UNCHANGED
R24-005	Model/provider behavior runtime not executed	OPEN	PROJECT_OWNER	2026-10-31	CONTROLLED_MODEL_PROVIDER_GATE	CARRIED_FORWARD_UNCHANGED
R24-006	Runtime source-to-image correspondence not fully established	OPEN	PROJECT_OWNER	2026-10-31	IMMUTABLE_PROVENANCE_GATE	CARRIED_FORWARD_UNCHANGED
R24-007	S3/MinIO path not validated in Phase 24 control-plane baseline	OPEN	PROJECT_OWNER	2026-10-31	S3_FILE_STORE_GATE	CARRIED_FORWARD_UNCHANGED
R24-008	Production operational effectiveness not validated	OPEN	PROJECT_OWNER	2026-10-31	PRODUCTION_EVIDENCE_GATE	CARRIED_FORWARD_UNCHANGED
R24-009	Upstream comparison completeness remains unestablished	OPEN	PROJECT_OWNER	2026-10-31	FUTURE_UPSTREAM_REVIEW	CARRIED_FORWARD_UNCHANGED
R24-010	Public portfolio publication not approved	OPEN	PROJECT_OWNER	2026-10-31	PUBLICATION_GATE	CARRIED_FORWARD_UNCHANGED
R24-011	Independent reproduction remains incomplete	OPEN	INDEPENDENT_VERIFIER	2026-10-31	INDEPENDENCE_GATE	CARRIED_FORWARD_UNCHANGED
R24-012	Phase 21 Action 21.17 remains blocked	OPEN	INDEPENDENT_VERIFIER	2026-10-31	INDEPENDENCE_GATE	CARRIED_FORWARD_UNCHANGED
