domain	matching_historical_reports	baseline_state	maintenance_trigger	next_gate
MODEL_RUNTIME	20	EVIDENCE_BASELINE_PRESENT	MODEL_PROVIDER_VERSION_CHANGE	BATCH_D_EXECUTION_OR_REVIEW
DATA_RETRIEVAL_RAG	18	EVIDENCE_BASELINE_PRESENT	DATASET_RETRIEVAL_ARCHITECTURE_CHANGE	BATCH_D_EXECUTION_OR_REVIEW
PROMPT_INSTRUCTION	12	EVIDENCE_BASELINE_PRESENT	PROMPT_TEMPLATE_CHANGE	BATCH_D_EXECUTION_OR_REVIEW
IDENTITY_AUTHORIZATION_TENANT	19	EVIDENCE_BASELINE_PRESENT	AUTHORIZATION_POLICY_CHANGE	BATCH_D_EXECUTION_OR_REVIEW
AGENT_TOOL_MCP	20	EVIDENCE_BASELINE_PRESENT	AGENT_TOOL_CAPABILITY_CHANGE	BATCH_D_EXECUTION_OR_REVIEW
PRIVACY_DLP	9	EVIDENCE_BASELINE_PRESENT	DATA_CLASS_OR_PRIVACY_CHANGE	BATCH_D_EXECUTION_OR_REVIEW
ABUSE_AVAILABILITY_ECONOMIC	12	EVIDENCE_BASELINE_PRESENT	ABUSE_OR_CAPACITY_CHANGE	BATCH_D_EXECUTION_OR_REVIEW
ADVERSARIAL_ML_MODEL_PRIVACY	10	EVIDENCE_BASELINE_PRESENT	MODEL_OR_ATTACK_TECHNIQUE_CHANGE	BATCH_D_EXECUTION_OR_REVIEW
SUPPLY_CHAIN_DEPLOYMENT	22	EVIDENCE_BASELINE_PRESENT	DEPENDENCY_OR_DEPLOYMENT_CHANGE	BATCH_D_EXECUTION_OR_REVIEW
INCIDENT_DETECTION_RESPONSE	16	EVIDENCE_BASELINE_PRESENT	INCIDENT_OR_DETECTION_CHANGE	BATCH_D_EXECUTION_OR_REVIEW
