claim_id	status	claim_text	evidence	restriction
CLM25-001	SUPPORTED	Built an evidence-traceable AI application security assessment workflow spanning authorization, runtime regression, release assurance and residual-risk handling.	docs/security/24-runtime-regression-remediation-release-assurance.md	Describe as authorized local/synthetic project work.
CLM25-002	SUPPORTED	Executed current-cycle authentication and cross-user object-ownership security regressions against a reconstructed offline Onyx control-plane runtime.	docs/security/evidence/phase24-batch-b-auth-authz-tenant-rag-runtime.md;docs/security/evidence/phase24-batch-b-bola-retest.md	Do not describe cross-user evidence as cross-tenant evidence.
CLM25-003	SUPPORTED	Validated tool-authority, MCP security boundaries, sensitive-data controls, bounded abuse controls, deployment integrity and synthetic detection controls in the Phase 24 cycle.	docs/security/evidence/phase24-batch-c-security-control-regressions.md	Some families are source/control regressions rather than full production end-to-end tests.
CLM25-004	SUPPORTED_WITH_LIMITATION	Completed a 14-family security-evaluation cycle with nine PASS dispositions and five explicitly blocked technical dependencies.	docs/security/maintenance/phase24-final-status.md	Do not describe blocked families as tested or passed.
CLM25-005	SUPPORTED_WITH_LIMITATION	Performed synthetic incident-response tabletop, findings normalization, residual-risk registration and scoped release-assurance decision-making.	docs/security/evidence/phase24-batch-d-final-assurance-evidence.md	No production SOC or production containment effectiveness claim.
CLM25-006	SUPPORTED_WITH_LIMITATION	Built an AI-security portfolio with six capstone packages and evidence provenance controls.	docs/security/portfolio/phase22-final-status.md	Public publication remains unapproved.
CLM25-007	HOLD	Independently reproduced the complete flagship project without assistance.	docs/security/21-independent-rebuild-transfer-professional-practice.md	PROHIBITED while Action 21.17 is BLOCKED_INDEPENDENT.
CLM25-008	HOLD	Validated production operational effectiveness.	docs/security/maintenance/phase24-final-status.md	No production operational-effectiveness evidence.
CLM25-009	HOLD	Fully validated cross-tenant isolation, RAG authorization, retrieval poisoning, prompt injection and model/provider behavior in the current Phase 24 runtime.	docs/security/runtime/phase24-regression-execution-matrix.tsv	Five evaluation families remain BLOCKED.
CLM25-010	HOLD	The complete portfolio is approved for unrestricted public publication.	docs/security/portfolio/phase22-publication-sanitization-policy.md	PUBLICATION_APPROVED=NO.
