evaluation_id	domain	historical_evidence_files	historical_evidence_state	current_cycle_runtime_state	closure_state
EV23-001	AUTHENTICATION_NEGATIVE_PATH	215	PRESENT	NOT_EXECUTED_IN_CURRENT_MAINTENANCE_CYCLE	OPEN_PENDING_RUNTIME_OR_APPLICABILITY_DECISION
EV23-002	OBJECT_OWNERSHIP_BOLA	108	PRESENT	NOT_EXECUTED_IN_CURRENT_MAINTENANCE_CYCLE	OPEN_PENDING_RUNTIME_OR_APPLICABILITY_DECISION
EV23-003	TENANT_ISOLATION	80	PRESENT	NOT_EXECUTED_IN_CURRENT_MAINTENANCE_CYCLE	OPEN_PENDING_RUNTIME_OR_APPLICABILITY_DECISION
EV23-004	RAG_AUTHORIZATION_REVOCATION	205	PRESENT	NOT_EXECUTED_IN_CURRENT_MAINTENANCE_CYCLE	OPEN_PENDING_RUNTIME_OR_APPLICABILITY_DECISION
EV23-005	RETRIEVAL_POISONING	39	PRESENT	NOT_EXECUTED_IN_CURRENT_MAINTENANCE_CYCLE	OPEN_PENDING_RUNTIME_OR_APPLICABILITY_DECISION
EV23-006	PROMPT_INJECTION	27	PRESENT	NOT_EXECUTED_IN_CURRENT_MAINTENANCE_CYCLE	OPEN_PENDING_RUNTIME_OR_APPLICABILITY_DECISION
EV23-007	AGENT_TOOL_AUTHORIZATION	123	PRESENT	NOT_EXECUTED_IN_CURRENT_MAINTENANCE_CYCLE	OPEN_PENDING_RUNTIME_OR_APPLICABILITY_DECISION
EV23-008	MCP_IDENTITY_AUTHORIZATION	128	PRESENT	NOT_EXECUTED_IN_CURRENT_MAINTENANCE_CYCLE	OPEN_PENDING_RUNTIME_OR_APPLICABILITY_DECISION
EV23-009	SENSITIVE_DATA_EXPOSURE	92	PRESENT	NOT_EXECUTED_IN_CURRENT_MAINTENANCE_CYCLE	OPEN_PENDING_RUNTIME_OR_APPLICABILITY_DECISION
EV23-010	MODEL_PROVIDER_BEHAVIOR	104	PRESENT	NOT_EXECUTED_IN_CURRENT_MAINTENANCE_CYCLE	OPEN_PENDING_RUNTIME_OR_APPLICABILITY_DECISION
EV23-011	ABUSE_AVAILABILITY_ECONOMIC	78	PRESENT	NOT_EXECUTED_IN_CURRENT_MAINTENANCE_CYCLE	OPEN_PENDING_RUNTIME_OR_APPLICABILITY_DECISION
EV23-012	SUPPLY_CHAIN_DEPLOYMENT	231	PRESENT	NOT_EXECUTED_IN_CURRENT_MAINTENANCE_CYCLE	OPEN_PENDING_RUNTIME_OR_APPLICABILITY_DECISION
EV23-013	DETECTION_AUDIT	155	PRESENT	NOT_EXECUTED_IN_CURRENT_MAINTENANCE_CYCLE	OPEN_PENDING_RUNTIME_OR_APPLICABILITY_DECISION
EV23-014	INCIDENT_RESPONSE_TABLETOP	48	PRESENT	NOT_EXECUTED_IN_CURRENT_MAINTENANCE_CYCLE	OPEN_PENDING_RUNTIME_OR_APPLICABILITY_DECISION
