domain	onyx_reference	openhands_static_reference	transfer_class	phase25_result
AUTHORIZATION_SCOPE	docs/security/00-scope-and-rules-of-engagement.md	docs/SELF_HOSTING.md	METHOD_TRANSFERS_DIRECTLY	PASS_STATIC
ARCHITECTURE_TRUST_BOUNDARIES	docs/security/06-onyx-baseline-system-reverse-engineering.md	README.md;docs/SELF_HOSTING.md	METHOD_TRANSFERS_WITH_ADAPTATION	PASS_STATIC
AUTHENTICATION_SESSION	docs/security/evidence/phase24-batch-b-runtime-results.tsv	src/api/main-app-auth.ts;docs/SELF_HOSTING.md	METHOD_TRANSFERS_WITH_ADAPTATION	PASS_STATIC_SURFACE
AUTHORIZATION_OWNERSHIP	docs/security/evidence/phase24-batch-b-bola-retest-results.tsv	README.md	METHOD_TRANSFERS_WITH_ADAPTATION	PARTIAL_EXTERNAL_AGENT_SERVER_DEPENDENCY
TENANT_WORKSPACE_ISOLATION	docs/security/runtime/phase24-regression-execution-matrix.tsv	src/api/workspace-upload-path.ts	METHOD_TRANSFERS_WITH_ADAPTATION	PARTIAL_STATIC
PROMPT_CONTEXT	docs/security/runtime/phase24-regression-execution-matrix.tsv	NOT_ESTABLISHED_IN_SELECTED_SOURCE	METHOD_TRANSFERS_WITH_ADAPTATION	NOT_EXECUTED
RETRIEVAL_RAG_MEMORY	docs/security/runtime/phase24-regression-execution-matrix.tsv	NO_DIRECT_EQUIVALENT_ESTABLISHED_IN_SELECTED_CANVAS_SOURCE	PRODUCT_SPECIFIC	NOT_ESTABLISHED
AGENT_TOOL_ACTION_AUTHORITY	docs/security/evidence/phase24-batch-c-control-regression-output.txt	src/components/features/chat/confirmation-mode-enabled.tsx;src/api/runtime-service/agent-server-runtime-service.ts	METHOD_TRANSFERS_DIRECTLY	PASS_STATIC_SURFACE
MCP_INTEGRATIONS	docs/security/evidence/phase24-batch-c-control-regression-output.txt	src/api/mcp-service/mcp-redacted-credentials.ts;src/utils/redact-mcp-secrets.ts	METHOD_TRANSFERS_DIRECTLY	PASS_STATIC_SURFACE
CODE_EXECUTION_SANDBOX	docs/security/11-onyx-agent-action-mcp-tool-code-execution-security.md	README.md;docs/SELF_HOSTING.md;src/api/runtime-service/agent-server-runtime-service.ts	METHOD_TRANSFERS_WITH_ADAPTATION	HIGH_PRIORITY_RUNTIME_FOLLOWUP
SECRET_HANDLING	docs/security/evidence/phase24-batch-c-control-regression-output.txt	src/api/secrets-service.ts;src/utils/redact-mcp-secrets.ts	METHOD_TRANSFERS_DIRECTLY	PASS_STATIC_SURFACE
OUTBOUND_NETWORK_SSRF	docs/security/runtime/phase24-runtime-baseline.tsv	docs/SELF_HOSTING.md;src/api/cloud/proxy.ts	METHOD_TRANSFERS_WITH_ADAPTATION	HIGH_PRIORITY_RUNTIME_FOLLOWUP
SUPPLY_CHAIN_PROVENANCE	docs/security/closure/phase25-source-provenance-manifest.tsv	docs/security/closure/phase25-openhands-source-manifest.tsv	METHOD_TRANSFERS_DIRECTLY	PASS_SOURCE_PIN_ONLY
ABUSE_RESOURCE_CONTROLS	docs/security/evidence/phase24-batch-c-security-control-regressions.md	NOT_VALIDATED_IN_SELECTED_STATIC_TRANSFER	METHOD_TRANSFERS_WITH_ADAPTATION	NOT_EXECUTED
OBSERVABILITY_DETECTION	docs/security/evidence/phase24-batch-c-security-control-regressions.md	src/api/event-service/event-service.api.ts	METHOD_TRANSFERS_WITH_ADAPTATION	PARTIAL_STATIC
INCIDENT_RESPONSE	docs/security/evidence/phase24-batch-d-incident-response-tabletop.md	PROCESS_TRANSFER_ONLY	METHOD_TRANSFERS_DIRECTLY	PROCESS_ONLY
RELEASE_ROLLBACK	docs/security/release/phase24-release-assurance-decision.md	PROCESS_TRANSFER_ONLY	METHOD_TRANSFERS_DIRECTLY	PROCESS_ONLY
RESIDUAL_RISK_PRODUCT_GAPS	docs/security/closure/phase25-residual-risk-handoff.tsv	docs/security/closure/phase25-openhands-transfer-assessment.md	METHOD_TRANSFERS_DIRECTLY	PASS_STATIC
